Palavra;Significado;Raw_Original
aé;ele;aé
aé;ela;aé
amurupi;diferente;amurupi
kãtari;cantar;kãtari
anâma;parente;anâma
anâma;amigo;anâma
anâma;família;anâma
nhunto;somente;nhunto
kaçakiri;atrás;kaçakiri
kaá;floresta;kaá
ára;tempo;ára
ára;dia;ára
amuára;outro dia;amuára
amuára;outra vez;amuára
timbiú;comida;timbiú
tukũ;cesto;tukũ
murari;morar;murari
araué;barata;araué
açui;depois;açui
açui;pois;açui
atimasá;preguiça;atimasá
kutara;rápido;kutara
kutara;ligeiro;kutara
amum;outro;amum
amum;outra;amum
apekatú;longe;apekatú
amũ;irmã;amũ
waçaí;açai;waçaí
apigá;homem;apigá
amana;chuva;amana
yapukuĩ;remar;yapukuĩ
amurupi;diferente;amurupi
yumanasaua;abraço;yumanasaua
tapuyu;indígena;tapuyu
aiurí;ajuntamento;aiurí
aiurí;reunião;aiurí
aiurí;mutirão;aiurí
ané;nunca;ané
yané;nosso;yané
yané;nossa;yané
anhemarâma;último;anhemarâma
anhemarâma;última;anhemarâma
nupá;bater;nupá
yu;espinho;yu
abá;homem;abá
abá;gente;abá
ãmiasí;faminto;ãmiasí
apekatu;longe;apekatu
apekatu;distante;apekatu
apu;satisfeito;apu
araçupé;meio dia;araçupé, arasupé
arasupé;meio dia;araçupé, arasupé
aracú;peixe piau;aracú
aracú;aracú;aracú
kiçé;faca;kiçé
imirá;árvore;imirá
apú;cheio;apú
apú;farto;apú
kĩdara;quintal;kĩdara
yuaka;céu;yuaka
kaá;mato;kaá
kaá;folha;kaá
kaá;planta;kaá
bóiauaçú;cobra grande;bóiauaçú
yururá;tartaruga;yururá
paranã;rio;paranã
pakowã;banana;pakowã
wí;farinha;wí
katuçawa;bondade;katuçawa
taba;aldeia;taba
apukitá;remo;apukitá
pituna;noite;pituna
açu;grande;açu
katú;bom;katú
ikuntu;quietar;ikuntu
ikuntu;tranquilizar;ikuntu
kunhã;mulher;kunhã
cirú;vasilha;cirú
igara;barco;igara
igara;canoa;igara
yutima;plantar;yutima
yutima;enterrar;yutima
anga;alma;anga
darápe;prato;darápe
darápe;louça de mesa;darápe
eré;sim;eré
kirimbawa;forte;kirimbawa
çãã;sentir;çãã
gapenú;onda;gapenú
ipawa;lago;ipawa
çēdú;ouvir;çēdú
awati;milho;awati
mamé;onde;mamé
papera;papel;papera
tuiúka;barro;tuiúka
itá;pedra;itá
açú;grande;açú
darapi;panela de barro;darapi
yawareté;onça;yawareté
iraruka;colméia;iraruka
ipirungaua;começo;ipirungaua
ipirungaua;início;ipirungaua
awatii;arroz;awatii
kuyera imiráwara;colher de pau;kuyera imiráwara
mukaturu;concertar;mukaturu
iwá;fruta;iwá
