Nheengatu,Palavra Alvo,Sentença no português,Tradução
Taina ita Timbuí u-iku mirapewa,timbuí,A comida das crianças esta na mesa,comida
u-mu-yasuka u-iku yepe taina-miri,u-iku,Ela estava banhando uma criancinha,estava
Kuxima aikue yepe kapuanu kua rupi,kapuanu,Havia antigamente uma ilha próxima,ilha
aé puranga uiki,puranga,Ela está bonita,bonita
Taina-miri u-kiri,u-kiri,A criancinha dormiu,dormiu
Kunhãtai-miri suri,suri,A menininha é alegre,alegre
Kunhã-muku kãtari amana,kãtari,Moças cantam na chuva,cantam
Ta-ruka iwate,iwate,A casa deles é alta,alta
Kui (ri) ya-estudai miri,kui (ri),"Agora, estudamos um pouco",agora
Pe-iku uatá kaá,kaá,Vocês estão caminhando na mata,mata
Tau-munhã timbiú i-supe,munhã,Eles fizeram comida para ele,fizeram
Ae u-su=wã yana kaá,yana,Ele já foi correr para a mata,correr
a-yutima  se-iwa,yutima,Planto minhas frutas,planto
ike  kuxima aikue yepe mirá,kuxima,"Aqui, antigamente, havia uma árvore",antigamente
wira-miri  u-sasa igara ararupi,igara,Um passarinho passou por cima da canoa,canoa
ya-su ya-mukamee  pe-supe nhaã  yakare,mukamee,Vamos mostrar para vocês aquele jacaré,mostrar
taina-miri wasu,wasu,Criancinha grande,grande
au-munuka nhaã piré,munuka,Cortaram aquele peixe,cortaram
u-sasa amana wasu,sasa,Passou uma chuva grande,passou
ya-maã pinaitikasara suri,pinaitikasara,Ver o pescador alegre,pescador
igara i-puse,puse,A canoa ela é pesada,pesada
u-pita see,pita,Fica doce,fica
U-yenū nhaã kía,kía,Dormiu naquele sujo,sujo
nhaã tatá mimi,tatá,Aquele fogo longe,fogo
yumbue kuatia,kuatia,Aprender a escrever,escrever
Ixe a-wapika a-iku mirá rakanga rese,rakanga,Eu estava sentado em um galho de árvore,galho
pinaitikasara i-kuere=wã,kuere,O pescador já estava cansado,cansado
Ae u-senui mane ruka,senui,Ela chamou o marido para casa,chamou
a-mundeka=wã tatá,mundeka,Já acendi o fogo,acendi
aé u-senui kunhã-muku,aé,Ela chamou as moças,ela
Maria u-yupiru kãtari ike,yupiru,Maria começou a cantar aqui,começou
uiramiri u-pita ruka upe,uiramiri,O passarinho ficou no ninho,passarinho
Kuese ya-sendu=wã,sendu,Ontem já ouvimos,ouvimos
a-su a-mu-see kisuku,see,Vou adoçar o suco,adoçar
Yande ya-riku uí meyu,uí,"Nós temos farinha, beiju",farinha
Viagi rire se-kuere=wã,rire,"Depois da viagem, fiquei cansado",depois da
mira ita ta-yatiri,mira,As pessoas se juntaram,pessoas
a-su kuema wera kupixa kiti,kupixa,Eu vou toda manhã para roça,roça
Kunhã u-iumaã auruá resé,maã,A mulher se vê no espelho,vê
mame taá timbiú?,mame,Onde está a comida?,onde
panhe ita musapi paa ta-riku ta-rimiriku ita ta-raira,riku,Diz que todos os três tinham suas esposas e filhos,tinham
kuema-ite ya-su ya-maã,kuema,"De manhã, vamos ver",manhã
tau-su u-kasai kaa kiti,su,Foram caçar pro mato,foram
Maria unhee nheenga-itá puranga Pedro supe,unhee,Maria diz palavras bonitas a Pedro,diz
mairame paa u-sika u-maã kuaye,kuaye,"Diz que quando ele chegou, viu deste jeito",deste jeito
Panhe maã i-manha u-munhã rame,panhe,Toda coisa que a mãe sabia,toda
Maria uiupiru umunhã timbiú i anama-itá supé,anama,Maria começa a fazer comida para seus familiares,familiares
ike a-vivei ate kui(ri),vivei,"Aqui, vivo até agora",vivo
inde nunka re-su re-yu-kirai,nunka,Você nunca vai ser crescido,nunca
ape paa u-sika s-uka upe,sika,Aí ele chegou na casa dele,chegou
aé upuraki i tainasaua suí,puraki,Ele trabalha desde sua infância,trabalha
nhaã yakare akanga,yakare,Aquela cabeça de jacaré,jacaré
u-tuma(ri) retã kisuku,u-tuma,Tomou muito suco,tomou
aé uiupiru ana u-uatá garapá suí,uatá,Ele começou a andar desde o porto,andar
i-manha u-memui mani-kuera,memui,Sua mãe cozinhou caldo de mandioca,cozinhou
Ixé amurári suaki,murári,Eu moro perto dela,moro
Kuá uirá sikue u-iku,uirá,Este pássaro está vivo,pássaro
Kuá-Itá mirá santá,mirá,Estas madeiras são duras,madeiras
re-muati-pa(wa) kua suu ita,suu,Junte todos estes animais,animais
inde re-mee ne-kirimba-sa,kirimba,Você dá a tua força,força
se paia rendira usu umunhã uí,paia,A irmã de meu pai vai fazer farinha.,irmã
re-kiri sedu re-paka sedu,paka,Você dorme cedo e acorda cedo,acorda
ya-wasemu ae,wasemu,Encontramos ele,encontramos
u-yana kutara,kutara,Correu rápido,rápido
ai u-su=wã,ai,A preguiça foi embora,preguiça
amu pituna piterupi tau-sendu paa tiyapu,amu,"Pelo meio da outra noite, diz que ouviram um barulho",outra
apigaua puranga,apiga,O homem é bonito,homem
kunhã-itá puranga,kunhã,Mulheres bonitas,mulheres
a-kua-katu,katu,Sei muito bem,bem
Pedro uikúntu sendaua upé,uikúntu,Pedro está quieto na sua comunidade,está quieto
Tuyuka sui-wara yepe bapa-wasu,tuyuka,Feita de barro uma bacia grande,barro
Kunhã urúri iepeaua kauaru resé,iepeaua,A mulher traz lenha no cavalo,lenha
Kua itá u-wai mikiti,itá,Estas pedras caem para lá,pedras
Ixe se iumasi,iumasi,Eu estou faminto,faminto
Kurumi umee ana iepé pitera i manha resé,manha,O menino deu um beijo em sua mãe,mãe
ya-saisu yane-iwi yane-parana,yane,"Amamos nossa terra, nosso rio",nosso
a-perderi se-kise,kise,Perdi minha faca,faca
ixe apisika xipu,xipu,Eu pego cipó,cipó
tau-mubue ainta tau-mungitá,mungitá,Eles ensinaram a ler,ler
ate mairame paa nhaã galu u-nheengai waa ora,ora,Até quando era a hora em que o galo canta,hora
rerúri timbiu ixe arama,ixe,Traga comida para mim,mim
pe-manha u-munhã pukusa muraki,pe,Enquanto a mãe de vocês faz o trabalho,vocês
i pindá-itá,i,Os anzois dele,dele
ti=siya yane-rumuara ita,umuara,Nossos companheiros não eram muitos,companheiros
u-istragai yande kuxima,yande,Estragou o nosso passado,nosso
ixe se-akanhemu a-pui parana kiti,parana,Eu me assustei e pulei no rio,rio
a-yutima se-iwa,iwa,Planto minha fruta,fruta
a-mbue ta-supe amu-kuese,kuese,Disse para eles antes de ontem,ontem
i-manha ate i-kuere u-maã taina u-yuxiu,ate,A mãe dele até cansou de ver a criança chorar,até
re-maã maye penhe kua tempu pe-puraki,maye,Vejam como vocês agora trabalham,como
kua tempu tu-resebei=wã farda,tempu,"Neste tempo, eles já receberam uniforme",tempo
u-su u-pisika kamarão garape kiti,pisika,Foi pegar camarão lá pro igarapé,pegar
aikue yepe kua uka ike,uka,Há uma casa aqui,casa
tu-mu-kuara garapa sui,mu-kuara,Esburacaram desde o porto,esburacaram
